station,geometry,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,24-09,24-10,24-11,24-12
Soho,POINT (-0.129964 51.512469),308.44,307.1304347826087,290.55172413793105,289.92857142857144,245.42857142857142,254.94117647058823,320.34285714285716,302.5263157894737,287.04761904761904,340.625,340.0,389.54545454545456
Heathrow,POINT (-0.458645 51.48021),382.2,343.5,456.0,321.0,421.0,521.4,317.57142857142856,472.8181818181818,303.85714285714283,338.3076923076923,401.1111111111111,391.0
Fulham,POINT (-0.200938 51.477909),351.2857142857143,395.6666666666667,502.5,327.44444444444446,197.75,288.2857142857143,305.64285714285717,300.53846153846155,225.75,465.0,230.5,247.2
Woodside,POINT (-0.062193 51.385783),310.8,319.0,262.8,325.25,347.1666666666667,355.6666666666667,341.55555555555554,313.5,390.0,316.4,357.8,293.6666666666667
Plumstead,POINT (0.091501 51.487457),328.75,391.7857142857143,355.4736842105263,383.3333333333333,349.04545454545456,421.6857142857143,332.72972972972974,313.4848484848485,315.3421052631579,339.1666666666667,335.36842105263156,328.5
Mitcham,POINT (-0.172744 51.397194),333.0,238.66666666666666,389.0,298.0,361.09090909090907,301.77272727272725,302.88,307.15384615384613,230.0,297.5,317.09090909090907,339.6
Leytonstone,POINT (0.008695 51.560622),349.0,365.3333333333333,331.0,337.625,329.875,377.6363636363636,377.15384615384613,299.06666666666666,324.4,354.0,282.4166666666667,362.5
Stratford,POINT (0.011171 51.543736),274.2,305.7391304347826,277.2307692307692,263.5,236.86666666666667,292.11764705882354,290.2,318.8888888888889,400.64285714285717,387.8,229.5,261.5
West Norwood,POINT (-0.105541 51.425989),395.5,291.5,254.16666666666666,306.38461538461536,258.85714285714283,321.09090909090907,353.5,333.7,321.25,319.14285714285717,362.14285714285717,370.0
Hainault,POINT (0.104399 51.606178),344.7142857142857,427.0,340.25,319.3333333333333,585.3333333333334,330.0,273.25,421.25,416.84615384615387,212.5,252.4,757.0
Woodford,POINT (0.024005 51.609556),0.0,365.8,0.0,358.14285714285717,434.1666666666667,428.6666666666667,383.5,346.57142857142856,350.25,313.6666666666667,382.0,322.0
Orpington,POINT (0.110663 51.372392),408.8,413.3333333333333,518.75,375.8888888888889,357.4,383.57142857142856,362.95652173913044,368.15,444.35714285714283,433.5,400.4,324.6363636363636
Kensington,POINT (-0.190085 51.502904),279.4,276.6,273.85714285714283,285.25,312.0,329.5,304.75,247.66666666666666,301.0,0.0,193.0,276.6
New Malden,POINT (-0.245337 51.399017),339.6,441.6666666666667,307.6,387.0,530.5,338.3333333333333,348.77777777777777,573.0,348.5,353.4,468.0,204.5
Homerton,POINT (-0.043939 51.548654),307.14285714285717,384.6666666666667,276.6666666666667,352.0,263.42857142857144,349.77777777777777,339.14285714285717,378.7857142857143,385.6666666666667,243.14285714285714,248.3,314.5
Dockhead,POINT (-0.070833 51.500787),325.2,256.0,411.75,253.8,366.6666666666667,227.16666666666666,305.0,296.1,309.25,276.1666666666667,337.6,279.75
Tottenham,POINT (-0.071815 51.592368),273.7083333333333,358.6363636363636,292.88235294117646,320.17241379310343,312.55555555555554,362.7368421052632,296.71875,299.15625,283.74074074074076,259.0,326.5,347.9047619047619
Harrow,POINT (-0.366348 51.590801),448.0,379.0,388.5,284.0,307.75,357.07142857142856,303.61538461538464,378.7142857142857,300.1666666666667,288.25,361.2857142857143,300.4
Heston,POINT (-0.343198 51.475008),344.84615384615387,272.2,443.4,334.4,390.0769230769231,371.7142857142857,404.2352941176471,374.7647058823529,371.53846153846155,356.5,371.7142857142857,399.7142857142857
Greenwich,POINT (-0.013696 51.473952),234.6,228.0,370.25,285.6,265.4,246.0,297.75,362.0,264.3333333333333,245.0,298.5,285.0
Kentish Town,POINT (-0.141652 51.552844),264.47058823529414,330.25,303.0,301.11764705882354,322.27272727272725,335.3,304.0,333.6,262.57142857142856,281.54545454545456,358.57142857142856,417.85714285714283
Ilford,POINT (0.090084 51.562109),323.4,347.2,332.25,332.0625,306.3125,322.34285714285716,384.0416666666667,321.60714285714283,373.5,344.36,338.64,343.0
Paddington,POINT (-0.183055 51.520204),298.0,244.88888888888889,308.2307692307692,340.9166666666667,307.4166666666667,287.53846153846155,295.27272727272725,306.25,343.85714285714283,303.8125,329.53333333333336,301.875
Bethnal Green,POINT (-0.05355 51.52784),305.55555555555554,228.55555555555554,255.25,352.6666666666667,291.6875,276.45,257.61538461538464,330.44444444444446,315.0,255.22222222222223,285.3333333333333,286.0
East Greenwich,POINT (0.022144 51.487005),546.0,356.375,330.2,344.25,364.2857142857143,440.7692307692308,354.0,416.1,316.0,368.0,285.8,441.25
Bromley,POINT (0.016881 51.407079),231.85714285714286,587.0,300.25,330.2307692307692,375.6666666666667,404.2307692307692,396.84615384615387,349.42857142857144,292.90909090909093,338.2,367.6666666666667,318.0
Dagenham,POINT (0.15743 51.559294),437.0625,388.92857142857144,362.5,317.09090909090907,447.6521739130435,386.3181818181818,415.7,398.25,385.88461538461536,385.0,361.53333333333336,337.52941176470586
Enfield,POINT (-0.05173 51.66023),411.875,423.0,328.0,290.8888888888889,380.90909090909093,348.7647058823529,424.3333333333333,371.3181818181818,326.55555555555554,373.3888888888889,377.11764705882354,395.125
Forest Hill,POINT (-0.044955 51.44272),276.3333333333333,475.0,435.6666666666667,299.8333333333333,290.3333333333333,320.77777777777777,387.0,348.9,287.5,338.14285714285717,460.1666666666667,0.0
Purley,POINT (-0.124319 51.331841),497.5,341.6666666666667,360.4,287.2857142857143,337.5,214.57142857142858,402.75,624.0,363.2,251.0,432.0,309.1666666666667
Wennington,POINT (0.220954 51.506455),388.0,341.0,516.8333333333334,402.0,299.6666666666667,495.2857142857143,403.46153846153845,405.52941176470586,324.84615384615387,400.3333333333333,403.8333333333333,346.25
